state,District,MPCE_URP,MPCE_MRP,state_1
22,10,3332.0,3715.73,CHTSD
22,10,4342.5,6038.73,CHTSD
22,10,1291.0,1553.47,CHTSD
22,10,2741.83,3341.78,CHTSD
22,10,2005.25,2121.28,CHTSD
22,10,2536.17,4316.9,CHTSD
22,10,1000.7,1104.69,CHTSD
22,10,1138.17,1427.85,CHTSD
22,7,3679.75,5121.6,CHTSD
22,7,2366.71,3697.07,CHTSD
22,7,2771.0,3913.68,CHTSD
22,7,2347.6,3407.81,CHTSD
22,7,1856.17,2487.63,CHTSD
22,7,2550.75,3803.68,CHTSD
22,7,930.4,1132.89,CHTSD
22,7,2229.25,3397.78,CHTSD
22,8,5764.0,6532.49,CHTSD
22,8,6044.0,6622.08,CHTSD
22,8,1829.0,2498.06,CHTSD
22,8,1463.5,1563.23,CHTSD
22,8,982.25,1070.98,CHTSD
22,8,1316.6,1467.05,CHTSD
22,8,857.0,962.21,CHTSD
22,8,835.8,935.53,CHTSD
22,10,1738.17,1877.5,CHTSD
22,10,2095.5,2644.95,CHTSD
22,10,1031.0,1171.68,CHTSD
22,10,1164.5,1163.86,CHTSD
22,10,926.4,1115.06,CHTSD
22,10,1075.5,1211.98,CHTSD
22,10,685.2,822.12,CHTSD
22,10,847.25,935.4,CHTSD
22,7,2914.2,3447.46,CHTSD
22,7,3447.0,4580.5,CHTSD
22,7,1655.75,1996.93,CHTSD
22,7,1662.2,1948.27,CHTSD
22,7,1559.0,1824.51,CHTSD
22,7,1725.0,1855.27,CHTSD
22,7,926.5,972.53,CHTSD
22,7,658.0,783.49,CHTSD
22,10,2333.0,2574.32,CHTSD
22,10,1821.0,1862.64,CHTSD
22,10,985.33,1073.94,CHTSD
22,10,897.5,967.03,CHTSD
22,10,826.6,984.65,CHTSD
22,10,708.43,793.63,CHTSD
22,10,666.0,716.18,CHTSD
22,10,542.67,637.02,CHTSD
22,9,2978.33,3352.58,CHTSD
22,9,2888.5,4003.02,CHTSD
22,9,875.71,1026.88,CHTSD
22,9,755.33,780.63,CHTSD
22,9,1241.71,1523.85,CHTSD
22,9,740.86,1105.57,CHTSD
22,9,593.0,725.85,CHTSD
22,9,602.43,701.88,CHTSD
22,6,1821.2,2329.84,CHTSD
22,6,1207.6,1776.52,CHTSD
22,6,1175.0,1485.93,CHTSD
22,6,1350.25,1752.07,CHTSD
22,6,1653.2,2232.52,CHTSD
22,6,856.4,1134.37,CHTSD
22,6,1018.33,1254.02,CHTSD
22,6,778.13,1135.25,CHTSD
22,11,2452.2,2712.19,CHTSD
22,11,1875.86,2344.64,CHTSD
22,11,1553.0,1787.66,CHTSD
22,11,889.0,1107.32,CHTSD
22,11,978.17,1148.69,CHTSD
22,11,1042.25,1074.44,CHTSD
22,11,584.2,718.81,CHTSD
22,11,587.67,726.37,CHTSD
22,5,1201.75,1590.62,CHTSD
22,5,1776.0,2122.85,CHTSD
22,5,1225.0,1566.4,CHTSD
22,5,739.0,906.95,CHTSD
22,5,2001.25,2732.96,CHTSD
22,5,1246.25,1480.91,CHTSD
22,5,1235.4,1380.72,CHTSD
22,5,654.5,761.76,CHTSD
22,8,5593.0,5926.08,CHTSD
22,8,4616.5,5076.7,CHTSD
22,8,1109.0,1035.33,CHTSD
22,8,1537.33,1730.71,CHTSD
22,8,863.5,909.39,CHTSD
22,8,2728.5,3015.71,CHTSD
22,8,671.86,1314.69,CHTSD
22,8,1017.4,1149.32,CHTSD
22,4,2095.0,2573.11,CHTSD
22,4,3381.0,3760.32,CHTSD
